nowGoingViral
 ,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,
MikeSum
rouge-1,0.149,0.115,0.158,0.17,0.268,0.29,0.212,0.074,
Title
rouge-1,0.078,0.055,0.17,0.129,0.06,0.304,0.129,0.0,
Byline
rouge-1,0.343,0.122,0.233,0.136,0.101,0.372,0.272,0.235,
FirstSentence
rouge-1,0.281,0.204,0.166,0.136,0.126,0.271,1.0,0.117,
