MassagesPrivateShoppingTrips
 ,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,
MikeSum
rouge-1,0.276,0.196,0.133,0.09,0.185,0.145,0.276,0.204,
Title
rouge-1,0.039,0.0,0.129,0.066,0.099,0.048,0.039,0.057,
Byline
rouge-1,0.388,0.301,0.212,0.0,0.071,0.28,0.388,0.196,
FirstSentence
rouge-1,1.0,0.285,0.218,0.126,0.082,0.297,1.0,0.235,
