DrowningNewJerseyShore
 ,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,
MikeSum
rouge-1,0.159,0.235,0.322,0.105,0.101,0.212,0.159,0.27,
Title
rouge-1,0.139,0.227,0.416,0.064,0.076,0.25,0.139,0.266,
Byline
rouge-1,0.039,0.115,0.125,0.051,0.166,0.208,0.039,0.21,
FirstSentence
rouge-1,1.0,0.173,0.285,0.071,0.025,0.184,1.0,0.145,
