BacklashRacialReckoning
 ,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,
MikeSum
rouge-1,0.083,0.217,0.13,0.15,0.184,0.264,0.086,0.256,
Title
rouge-1,0.051,0.108,0.108,0.451,0.142,0.318,0.066,0.066,
Byline
rouge-1,0.065,0.237,0.169,0.113,0.102,0.242,0.219,0.192,
FirstSentence
rouge-1,0.222,0.253,0.607,0.164,0.224,0.186,1.0,0.166,
