AlibabaRape
 ,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,
MikeSum
rouge-1,0.196,0.28,0.0,0.25,0.246,0.17,0.034,0.266,
Title
rouge-1,0.0,0.157,0.032,0.142,0.037,0.171,0.043,0.121,
Byline
rouge-1,0.15,0.23,0.053,0.285,0.119,0.204,0.1,0.212,
FirstSentence
rouge-1,0.059,0.181,0.606,0.142,0.172,0.158,1.0,0.163,
