kindergartenExodus
 ,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,
MikeSum
rouge-1,0.074,0.2,0.181,0.222,0.281,0.274,0.074,0.145,
Title
rouge-1,0.06,0.068,0.058,0.0,0.046,0.133,0.06,0.058,
Byline
rouge-1,0.1,0.25,0.327,0.156,0.171,0.21,0.1,0.229,
FirstSentence
rouge-1,1.0,0.142,0.098,0.078,0.085,0.21,1.0,0.163,
